iter	Passed	Remaining
417	3050	4247
418	3058	4240
419	3065	4233
420	3073	4227
421	3083	4223
422	3090	4216
423	3099	4210
424	3107	4204
425	3116	4199
426	3124	4193
427	3134	4188
428	3142	4182
429	3149	4174
430	3157	4168
431	3165	4162
432	3175	4158
433	3184	4152
434	3192	4146
435	3199	4138
436	3207	4131
437	3216	4126
438	3223	4119
439	3232	4113
440	3239	4106
441	3248	4100
442	3256	4094
443	3264	4088
444	3273	4082
445	3281	4076
446	3289	4070
447	3297	4063
448	3305	4056
449	3313	4049
450	3322	4044
451	3331	4039
452	3340	4033
453	3349	4027
454	3357	4021
455	3364	4013
456	3373	4007
457	3381	4002
458	3390	3996
459	3398	3989
460	3407	3983
461	3415	3977
462	3424	3972
463	3434	3966
464	3443	3961
465	3452	3956
466	3461	3950
467	3468	3943
468	3478	3938
469	3487	3932
470	3497	3927
471	3505	3921
472	3514	3915
473	3522	3908
474	3530	3901
475	3538	3895
476	3548	3891
477	3557	3884
478	3565	3878
479	3573	3871
480	3583	3866
481	3592	3861
482	3600	3854
483	3609	3848
484	3617	3841
485	3626	3835
486	3634	3828
487	3643	3822
488	3652	3816
489	3661	3811
490	3670	3804
491	3679	3798
492	3688	3792
493	3698	3788
494	3706	3781
495	3714	3774
496	3722	3767
497	3731	3761
498	3741	3756
499	3749	3749
500	3757	3742
501	3766	3736
502	3775	3730
503	3782	3722
504	3791	3716
505	3800	3710
506	3808	3703
507	3817	3697
508	3825	3690
509	3833	3683
510	3841	3675
511	3849	3669
512	3858	3662
513	3866	3656
514	3876	3650
515	3884	3643
516	3892	3636
517	3900	3629
518	3909	3623
519	3918	3617
520	3926	3610
521	3934	3603
522	3943	3596
523	3951	3589
524	3961	3584
525	3968	3576
526	3977	3569
527	3985	3562
528	3993	3555
529	4001	3548
530	4009	3541
531	4017	3534
532	4026	3527
533	4034	3520
534	4042	3513
