iter	Logloss
0	0.6708099522
1	0.650447571
2	0.6281809642
3	0.6092907419
4	0.5917178188
5	0.5801947052
6	0.5643579334
7	0.5499254735
8	0.536539312
9	0.5251441275
10	0.5134557545
11	0.5036189918
12	0.4963801745
13	0.4877290876
14	0.4795834719
15	0.4740448892
16	0.4657772435
17	0.4586958077
18	0.4546963137
19	0.4474420543
20	0.4439399653
21	0.4387419561
22	0.4328122649
23	0.4301088132
24	0.425303103
25	0.4202602761
26	0.4153735699
27	0.411435512
28	0.4072383888
29	0.4033502208
30	0.4001190892
31	0.39699775
32	0.3941372786
33	0.3924986881
34	0.3902996866
35	0.3879486657
36	0.385625727
37	0.3839896231
38	0.3826783842
39	0.3807978381
40	0.3791058394
41	0.3762688731
42	0.3742770935
43	0.3710522013
44	0.3688453507
45	0.3674468173
46	0.366017903
47	0.3646235616
48	0.3633876193
49	0.3615210349
50	0.3606925868
51	0.3603226138
52	0.3585184938
53	0.3572403919
54	0.3559850632
55	0.3527471916
56	0.3518786188
57	0.3509073411
58	0.3500693829
59	0.3493584383
60	0.3484675478
61	0.3477585687
62	0.3466022423
63	0.3458682376
64	0.3449433434
65	0.3441535425
66	0.3435695759
67	0.3431626374
68	0.3420084548
69	0.3413579225
70	0.3411867399
71	0.3406140646
72	0.3400474219
73	0.3397280895
74	0.3393154821
75	0.3388084152
76	0.3385743348
77	0.338140277
78	0.3380873113
79	0.3375098347
80	0.3369319812
81	0.3366365813
82	0.3363020148
83	0.3358639453
84	0.3352330907
85	0.3343536515
86	0.3342315539
87	0.3340378664
88	0.3335232922
89	0.3334497569
90	0.3327727273
91	0.3326709118
92	0.3323232372
93	0.3322878187
94	0.3320849225
95	0.3317809819
96	0.3314553935
97	0.3313502391
98	0.3309219074
99	0.3308533423
100	0.3307246378
101	0.3301962743
102	0.329908458
103	0.3298225919
104	0.3296371269
105	0.3293880067
106	0.3290043152
107	0.3287184014
108	0.3284166866
109	0.3281743949
110	0.3276997581
111	0.3275520532
112	0.3270698257
113	0.3269431356
114	0.3267265542
115	0.3261274014
116	0.3260201224
117	0.3257947891
118	0.3256408722
119	0.3254236598
120	0.3253352192
121	0.3251313771
122	0.32499745
123	0.3249928048
124	0.3249095342
125	0.3241038302
126	0.3237373217
127	0.3237370147
128	0.3233222109
129	0.3231775381
130	0.3230866868
131	0.3228928709
132	0.3226029983
133	0.322415135
134	0.3221823334
135	0.3219688601
136	0.3217624995
137	0.3214505122
138	0.3214163523
139	0.321179659
140	0.3209241136
141	0.3208374804
142	0.3205053205
143	0.3202144548
144	0.3201146328
145	0.3198894313
146	0.3197616166
147	0.3196567482
148	0.3193721999
149	0.3193496267
150	0.3193478783
151	0.3191079694
152	0.3189282748
153	0.318762975
154	0.3184089313
155	0.3182131716
156	0.3177766063
157	0.3177290354
158	0.3176587758
159	0.317511724
160	0.317399653
161	0.3172173116
162	0.3170734506
163	0.3167845218
164	0.316641438
165	0.3164756598
166	0.3161998205
167	0.3160829735
168	0.3160079749
169	0.3159943573
170	0.3157960645
171	0.3155786476
172	0.3155782696
173	0.3153700495
174	0.3152842878
175	0.3150292825
176	0.3150292796
177	0.3148492114
178	0.3146462937
179	0.314617702
180	0.3144304432
181	0.3144248192
182	0.3144162761
183	0.3142842648
184	0.314271684
185	0.3141721226
186	0.3140260338
187	0.3138281194
188	0.3136601223
189	0.3134229778
190	0.3132366432
191	0.3132359789
192	0.313134527
193	0.3131345269
194	0.3130130629
195	0.3128375256
196	0.3126828745
197	0.3126730253
198	0.3125838381
199	0.3125215917
200	0.3123572322
201	0.3123034659
202	0.3120289232
203	0.3117721054
204	0.311745593
205	0.3117364651
206	0.3115348522
207	0.3114407718
208	0.3114306374
209	0.3114293058
210	0.3111493085
211	0.3104683617
212	0.310305361
213	0.3103032157
214	0.3102757135
215	0.3102420931
216	0.3101459804
217	0.3101206588
218	0.309941789
219	0.3098683244
220	0.3097331546
221	0.3095446499
222	0.3094002248
223	0.3093822277
224	0.3091094026
225	0.3089360344
226	0.3087323438
227	0.3085605899
228	0.3084863483
229	0.3084422578
230	0.3080203921
231	0.3078922296
232	0.3076040728
233	0.3075684541
234	0.3074089748
235	0.3072129286
236	0.3069209031
237	0.306748854
238	0.3067024379
239	0.3063690515
240	0.3061219858
241	0.3060974839
242	0.3059289279
243	0.3057725616
244	0.3056873554
245	0.305643465
246	0.3056434649
247	0.3054178999
248	0.3053292763
249	0.3053032826
250	0.3052908298
251	0.3050794282
252	0.3049745399
253	0.3047359754
254	0.3045022053
255	0.3044108695
256	0.3043786279
257	0.304290734
258	0.3042686389
259	0.3041544826
260	0.3038840758
261	0.3037165077
262	0.3035675189
263	0.303281305
264	0.3029711878
265	0.3027043521
266	0.3025833682
267	0.3025225007
268	0.3025142555
269	0.3025136565
270	0.3024203206
271	0.3022946808
272	0.3021827717
273	0.3018942936
274	0.3017613579
275	0.3016643589
276	0.3014376279
277	0.3014376278
278	0.3013098253
279	0.3011005865
280	0.3010127386
281	0.3009133207
282	0.3006032989
283	0.3004854391
284	0.3003759432
285	0.3003307815
286	0.3001660136
287	0.2995675055
288	0.2992932645
289	0.2992116042
290	0.2992087695
291	0.2988853775
292	0.2987712879
293	0.2986367537
294	0.2986342882
295	0.2983493736
296	0.298147761
297	0.2977234726
298	0.2974670944
299	0.2971857044
300	0.2968369522
301	0.2967569695
302	0.2967122255
303	0.2965714567
304	0.296514174
305	0.2961720677
306	0.2960578892
307	0.2958175889
308	0.2956528546
309	0.295439067
310	0.2951516281
311	0.2947730134
312	0.2947241168
313	0.2946097477
314	0.2943066402
315	0.2940478168
316	0.2938503274
317	0.293775445
318	0.2937023616
319	0.2936523999
320	0.2934689383
321	0.2930221566
322	0.2922684821
323	0.2922557831
324	0.2921282241
325	0.2917936894
326	0.2917010905
327	0.2913595531
328	0.2909571062
329	0.2906166006
330	0.2904461689
331	0.2903826136
332	0.2902557677
333	0.2900831166
334	0.2898272651
335	0.2895760252
336	0.2891414792
337	0.2888544054
338	0.2887686162
339	0.2884461902
340	0.2883970085
341	0.288257057
342	0.2881543782
343	0.2880139755
344	0.2877335241
345	0.2871360743
346	0.2870049391
347	0.2867952358
348	0.2866555398
349	0.2864230459
350	0.2863752418
351	0.2859936031
352	0.2856561576
353	0.2851718109
354	0.2846770972
355	0.2843249871
356	0.2842769013
357	0.2841428585
358	0.2840382748
359	0.2834950176
360	0.2831752683
361	0.2822977075
362	0.2820841614
363	0.281806075
364	0.2814512512
365	0.2812540654
366	0.280914449
367	0.2805619275
368	0.2803620896
369	0.2801762529
370	0.2800427945
371	0.2799866119
372	0.2798699673
373	0.2795037802
374	0.2791838991
375	0.2788676093
376	0.2786327744
377	0.2781375882
378	0.2778469541
379	0.2775033347
380	0.2772830938
381	0.2769547646
382	0.2766359783
383	0.2764468816
384	0.2764451766
385	0.2760505762
386	0.2757607774
387	0.275530881
388	0.2753313025
389	0.2750592264
390	0.2747705102
391	0.2747055702
392	0.2742176174
393	0.2741125036
394	0.2738740815
395	0.2737023713
396	0.2732908269
397	0.2732225994
398	0.2731283769
399	0.2729814322
400	0.2727817687
401	0.2727149727
402	0.2725512901
403	0.2721634573
404	0.2719737492
405	0.2717121585
406	0.271457928
407	0.2712388071
408	0.2709626166
409	0.2708077986
410	0.2707622076
411	0.2705629452
412	0.2702969449
413	0.2700855414
414	0.2700200886
415	0.2699369949
416	0.2697408331
417	0.2692667063
418	0.2691553848
419	0.2687435949
420	0.2687111674
421	0.2685503239
422	0.2683203478
423	0.2682039896
424	0.2681682337
425	0.2681295902
426	0.268028252
427	0.2679253412
428	0.2677471812
429	0.267651574
430	0.2673878455
431	0.2670942116
432	0.2668208741
433	0.2666556393
434	0.2664712488
435	0.2663421752
436	0.2660517965
437	0.2659919354
438	0.2656180566
439	0.2655725002
440	0.2654972851
441	0.265362401
442	0.265231688
443	0.2648419496
444	0.2647910532
445	0.2645506655
446	0.2642724473
447	0.2642176832
448	0.2641755016
449	0.2638288678
450	0.2637345455
451	0.2637078398
452	0.2633392821
453	0.2631250908
454	0.2630699625
455	0.2628563203
456	0.2628024997
457	0.2625836736
458	0.2624702341
459	0.2623800731
460	0.2622140692
461	0.2620524341
462	0.2620136458
463	0.2618996138
464	0.2617041309
465	0.261702496
466	0.2615512702
467	0.2611242146
468	0.260959897
469	0.2608395455
470	0.2607950232
471	0.26076623
472	0.2606131925
473	0.2604677995
474	0.2603021801
475	0.2599721915
476	0.2597442968
477	0.2595028149
478	0.2593706774
479	0.2591898653
480	0.2589461208
481	0.2587655215
482	0.258616197
483	0.2584055106
484	0.2583387939
485	0.2579949715
486	0.2579242474
487	0.2578806551
488	0.2577901237
489	0.2577223291
490	0.257680343
491	0.2575329293
492	0.2575078469
493	0.2573973294
494	0.2571828737
495	0.2569389
496	0.2566793374
497	0.256407827
498	0.2563232411
499	0.2560026155
500	0.2558031829
501	0.2554328589
502	0.2554116283
503	0.2552863812
504	0.255164003
505	0.2550791008
506	0.2550333389
507	0.2547905469
508	0.2545402063
509	0.254359387
510	0.2539693515
511	0.2538213932
512	0.2533685966
513	0.2531935229
514	0.2530623806
515	0.2529280752
516	0.2527611368
517	0.252540502
518	0.2524026212
519	0.2521733492
520	0.2517773094
521	0.2516071725
522	0.2515180609
523	0.251330101
524	0.2512420606
525	0.2509520845
526	0.2509238675
527	0.2507471517
528	0.250618444
529	0.2503984586
530	0.2501647413
531	0.2500701707
532	0.2500281595
533	0.2497247011
534	0.2495130829
